"&#32;",,"%20"," "
"&#33;",,"%21","!"
"&#34;","&quot;","%22",""""
"&#35;",,"%23","#"
"&#36;",,"%24","$"
"&#37;",,"%25","%"
"&#38;","&amp;","%26","&"
"&#39;",,"%27","'"
"&#40;",,"%28","("
"&#41;",,"%29",")"
"&#42;",,"%2A","*"
"&#43;",,"%2B","+"
"&#44;",,"%2C",","
"&#45;",,"%2D","-"
"&#46;",,"%2E","."
"&#47;",,"%2F","/"
"&#48;",,"%30",0
"&#49;",,"%31",1
"&#50;",,"%32",2
"&#51;",,"%33",3
"&#52;",,"%34",4
"&#53;",,"%35",5
"&#54;",,"%36",6
"&#55;",,"%37",7
"&#56;",,"%38",8
"&#57;",,"%39",9
"&#58;",,"%3A",":"
"&#59;",,"%3B",";"
"&#60;","&lt;","%3C","<"
"&#61;",,"%3D","="
"&#62;","&gt;","%3E",">"
"&#63;",,"%3F","?"
"&#64;",,"%40","@"
"&#65;",,"%41","A"
"&#66;",,"%42","B"
"&#67;",,"%43","C"
"&#68;",,"%44","D"
"&#69;",,"%45","E"
"&#70;",,"%46","F"
"&#71;",,"%47","G"
"&#72;",,"%48","H"
"&#73;",,"%49","I"
"&#74;",,"%4A","J"
"&#75;",,"%4B","K"
"&#76;",,"%4C","L"
"&#77;",,"%4D","M"
"&#78;",,"%4E","N"
"&#79;",,"%4F","O"
"&#80;",,"%50","P"
"&#81;",,"%51","Q"
"&#82;",,"%52","R"
"&#83;",,"%53","S"
"&#84;",,"%54","T"
"&#85;",,"%55","U"
"&#86;",,"%56","V"
"&#87;",,"%57","W"
"&#88;",,"%58","X"
"&#89;",,"%59","Y"
"&#90;",,"%5A","Z"
"&#91;",,"%5B","["
"&#92;",,"%5C","\"
"&#93;",,"%5D","]"
"&#94;",,"%5E","^"
"&#95;",,"%5F","_"
"&#96;",,"%60","`"
"&#97;",,"%61","a"
"&#98;",,"%62","b"
"&#99;",,"%63","c"
"&#100;",,"%64","d"
"&#101;",,"%65","e"
"&#102;",,"%66","f"
"&#103;",,"%67","g"
"&#104;",,"%68","h"
"&#105;",,"%69","i"
"&#106;",,"%6A","j"
"&#107;",,"%6B","k"
"&#108;",,"%6C","l"
"&#109;",,"%6D","m"
"&#110;",,"%6E","n"
"&#111;",,"%6F","o"
"&#112;",,"%70","p"
"&#113;",,"%71","q"
"&#114;",,"%72","r"
"&#115;",,"%73","s"
"&#116;",,"%74","t"
"&#117;",,"%75","u"
"&#118;",,"%76","v"
"&#119;",,"%77","w"
"&#120;",,"%78","x"
"&#121;",,"%79","y"
"&#122;",,"%7A","z"
"&#123;",,"%7B","{"
"&#124;",,"%7C","|"
"&#125;",,"%7D","}"
"&#126;",,"%7E","~"
"&#160;","&nbsp;","%A0"," "
"&#161;","&iexcl;","%A1","¡"
"&#162;","&cent;","%A2","¢"
"&#163;","&pound;","%A3","£"
"&#164;","&curren;","%A4","¤"
"&#165;","&yen;","%A5","¥"
"&#166;","&brvbar;","%A6","¦"
"&#167;","&sect;","%A7","§"
"&#168;","&uml;","%A8","¨"
"&#169;","&copy;","%A9","©"
"&#170;","&ordf;","%AA","ª"
"&#171;","&laquo;","%AB","«"
"&#172;","&not;","%AC","¬"
"&#173;","&shy;","%AD","­"
"&#174;","&reg;","%AE","®"
"&#175;","&macr;","%AF","¯"
"&#176;","&deg;","%B0","°"
"&#177;","&plusmn;","%B1","±"
"&#178;","&sup2;","%B2","²"
"&#179;","&sup3;","%B3","³"
"&#180;","&acute;","%B4","´"
"&#181;","&micro;","%B5","µ"
"&#182;","&para;","%B6","¶"
"&#183;","&middot;","%B7","·"
"&#184;","&cedil;","%B8","¸"
"&#185;","&sup1;","%B9","¹"
"&#186;","&ordm;","%BA","º"
"&#187;","&raquo;","%BB","»"
"&#188;","&frac14;","%BC","¼"
"&#189;","&frac12;","%BD","½"
"&#190;","&frac34;","%BE","¾"
"&#191;","&iquest;","%BF","¿"
"&#192;","&Agrave;","%C0","À"
"&#193;","&Aacute;","%C1","Á"
"&#194;","&Acirc;","%C2","Â"
"&#195;","&Atilde;","%C3","Ã"
"&#196;","&Auml;","%C4","Ä"
"&#197;","&Aring;","%C5","Å"
"&#198;","&AElig;","%C6","Æ"
"&#199;","&Ccedil;","%C7","Ç"
"&#200;","&Egrave;","%C8","È"
"&#201;","&Eacute;","%C9","É"
"&#202;","&Ecirc;","%CA","Ê"
"&#203;","&Euml;","%CB","Ë"
"&#204;","&Igrave;","%CC","Ì"
"&#205;","&Iacute;","%CD","Í"
"&#206;","&Icirc;","%CE","Î"
"&#207;","&Iuml;","%CF","Ï"
"&#208;","&ETH;","%D0","Ð"
"&#209;","&Ntilde;","%D1","Ñ"
"&#210;","&Ograve;","%D2","Ò"
"&#211;","&Oacute;","%D3","Ó"
"&#212;","&Ocirc;","%D4","Ô"
"&#213;","&Otilde;","%D5","Õ"
"&#214;","&Ouml;","%D6","Ö"
"&#215;","&times;","%D7","×"
"&#216;","&Oslash;","%D8","Ø"
"&#217;","&Ugrave;","%D9","Ù"
"&#218;","&Uacute;","%DA","Ú"
"&#219;","&Ucirc;","%DB","Û"
"&#220;","&Uuml;","%DC","Ü"
"&#221;","&Yacute;","%DD","Ý"
"&#222;","&THORN;","%DE","Þ"
"&#223;","&szlig;","%DF","ß"
"&#224;","&agrave;","%E0","à"
"&#225;","&aacute;","%E1","á"
"&#226;","&acirc;","%E2","â"
"&#227;","&atilde;","%E3","ã"
"&#228;","&auml;","%E4","ä"
"&#229;","&aring;","%E5","å"
"&#230;","&aelig;","%E6","æ"
"&#231;","&ccedil;","%E7","ç"
"&#232;","&egrave;","%E8","è"
"&#233;","&eacute;","%E9","é"
"&#234;","&ecirc;","%EA","ê"
"&#235;","&euml;","%EB","ë"
"&#236;","&igrave;","%EC","ì"
"&#237;","&iacute;","%ED","í"
"&#238;","&icirc;","%EE","î"
"&#239;","&iuml;","%EF","ï"
"&#240;","&eth;","%F0","ð"
"&#241;","&ntilde;","%F1","ñ"
"&#242;","&ograve;","%F2","ò"
"&#243;","&oacute;","%F3","ó"
"&#244;","&ocirc;","%F4","ô"
"&#245;","&otilde;","%F5","õ"
"&#246;","&ouml;","%F6","ö"
"&#247;","&divide;","%F7","÷"
"&#248;","&oslash;","%F8","ø"
"&#249;","&ugrave;","%F9","ù"
"&#250;","&uacute;","%FA","ú"
"&#251;","&ucirc;","%FB","û"
"&#252;","&uuml;","%FC","ü"
"&#253;","&yacute;","%FD","ý"
"&#254;","&thorn;","%FE","þ"
"&#255;","&yuml;","%FF","ÿ"
